CODE;ENGLISH;;;;;;;;;;;x
AUS_proletarian_dictatorship1;오스트리아 인민공화국;;;;;;;;;;;x
AUS_proletarian_dictatorship1_ADJ;동오스트리아령;;;;;;;;;;;x
BKF;발칸 연방;;;;;;;;;;;x
BKF_ADJ;발칸령;;;;;;;;;;;x
BKF_proletarian_dictatorship;발칸 연합;;;;;;;;;;;x
BKF_hms_government;발칸 제국;;;;;;;;;;;x
BKF_populist_dictatorship;발칸 공화국;;;;;;;;;;;x
BKF_nationalist_dictatorship;발칸 공화국;;;;;;;;;;;x
END_ADJ;잉글랜드령;;;;;;;;;;;x
END;잉글랜드;;;;;;;;;;;x
BNL;저지대 연방;;;;;;;;;;;x
BNL_populist_dictatorship;네덜란드 연합;;;;;;;;;;;x
BNL_proletarian_dictatorship;저지대 인민연합;;;;;;;;;;;x
BNL_absolute_monarchy;저지대 왕국;;;;;;;;;;;x
BNL_ADJ;저지대령;;;;;;;;;;;x
BNL_populist_dictatorship_ADJ;네덜란드령;;;;;;;;;;;x
BRZ_ADJ;Brazilian;;;;;;;;;;;x
CMR_mandate_government_ADJ;카메룬령;;;;;;;;;;;x
CMR_mandate_government;카메룬;;;;;;;;;;;x
CMR;Cameroon;;;;;;;;;;;x
CMR_ADJ;카메룬령;;;;;;;;;;;x
CZH;체코슬로바키아;;;;;;;;;;;x
CZH_ADJ;체코슬로바키아령;;;;;;;;;;;x
DRZ_colonial_government;자발 드루즈국;;;;;;;;;;;x
DRZ;드루즈;;;;;;;;;;;x
DRZ_ADJ;드루즈령;;;;;;;;;;;x
HOU;후티;;;;;;;;;;;x
HOU_ADJ;후티령;;;;;;;;;;;x
ISI;이슬람 공화국;;;;;;;;;;;x
ISI_proletarian_dictatorship;반제국주의국;;;;;;;;;;;x
ISI_theocracy;이슬람 국가;;;;;;;;;;;x
ISI_ADJ;IS령;;;;;;;;;;;x
ISI_proletarian_dictatorship_ADJ;반제국주의령;;;;;;;;;;;x
ISR_mandate_government;Mandatory Israel;;;;;;;;;;;x
ISR;이스라엘;;;;;;;;;;;x
ISR_ADJ;이스라엘령;;;;;;;;;;;x
ICB_ADJ;베를린령;;;;;;;;;;;x
ICB;베를린 국제시;;;;;;;;;;;x
QGD;칭다오;;;;;;;;;;;x
QGD_ADJ;칭다오령;;;;;;;;;;;x
QGD_colonial_government;칭다오 조차지;;;;;;;;;;;x
ROA;오스트리아 공화국;;;;;;;;;;;x
