CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AAB;앤티가바부다;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_presidential_dictatorship;앤티가바부다 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_colonial_government;앤티가바부다 자치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_mandate_government;앤티가바부다 위임통치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_sar_government;앤티가바부다 자치공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_socialist_democracy;앤티가바부다 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_proletarian_dictatorship;앤티가바부다 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_proletarian_dictatorship1;앤티가바부다 사회주의 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_nationalist_dictatorship;앤티가바부다국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_theocracy;앤티가바부다;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_populist_dictatorship;앤티가바부다국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_absolute_monarchy;앤티가바부다 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_hms_government;앤티가바부다 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_hms_government1;앤티가바부다 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_democracy;앤티가바부다 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AAB_democracy1;앤티가바부다 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK;압하지야;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_presidential_dictatorship;압하지야 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_colonial_government;압하지야 자치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_mandate_government;압하지야 위임통치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_sar_government;압하지야 자치공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_socialist_democracy;압하스 소비에트 사회주의 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_proletarian_dictatorship;압하스 소비에트 사회주의 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_proletarian_dictatorship1;압하스 소비에트 사회주의 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_nationalist_dictatorship;압하지야국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_theocracy;압하지야;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_populist_dictatorship;압하지야국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_absolute_monarchy;압하지야 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_hms_government;압하지야 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_hms_government1;압하지야 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_democracy;압하지야 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABK_democracy1;압하지야 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ;암바조니아;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_presidential_dictatorship;암바조니아 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_colonial_government;암바조니아 자치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_mandate_government;암바조니아 위임통치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_sar_government;암바조니아 자치공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_socialist_democracy;암바조니아 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_proletarian_dictatorship;암바조니아 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_proletarian_dictatorship1;암바조니아 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_nationalist_dictatorship;암바조니아국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_theocracy;암바조니아;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_populist_dictatorship;암바조니아국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_absolute_monarchy;암바조니아 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_hms_government;암바조니아 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_hms_government1;암바조니아 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_democracy;암바조니아 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ABZ_democracy1;암바조니아 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ;아자리야;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_presidential_dictatorship;아자리야 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_colonial_government;아자리야 자치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_mandate_government;아자리야 위임통치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_sar_government;아자리야 자치공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_socialist_democracy;아자리야 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_proletarian_dictatorship;아자리야 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_proletarian_dictatorship1;아자리야 인민공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_nationalist_dictatorship;아자리야국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_theocracy;아자리야;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_populist_dictatorship;아자리야국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_absolute_monarchy;아자리야 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_hms_government;아자리야 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_hms_government1;아자리야 왕국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_democracy;아자리야 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_democracy1;아자리야 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADL;안달루시아;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADL_presidential_dictatorship;안달루시아 공화국;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADL_colonial_government;안달루시아 자치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADL_mandate_government;안달루시아 위임통치령;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
