CODE;ENGLISH;;;;;;;;;;;x
afb_member;아프리카 개발은행 가맹국;;;;;;;;;;;x
afb_chairmanship;아프리카 개발은행 의장국;;;;;;;;;;;x
formtheafb_title;아프리카 개발은행 설립;;;;;;;;;;;x
formtheafb_desc;아프리카 개발은행 그룹은 아프리카 국가들의 경제 발전과 사회 발전에 기여하기 위해 설립된 다자간 개발금융기관입니다. 아프리카 개발은행 그룹은 1964년에 설립되었으며세개의 기관(아프리카 개발은행, 아프리카 개발기금, 나이지리아 신탁기금) 구성되어 있습니다. 아프리카 지역의 경제사회 발전에 기여할 가능성이 있는 사업과 프로그램에 대한 공공 및 민간 자본의 투자를 촉진함으로써 아프리카 대륙의 빈곤 퇴치와 생활여건 개선을 도모하는 것이 이들의 임무입니다. 아프리카 개발은행은 아프리카 정부와 지역회원국에 투자하는 민간기업에 대한 금융 제공자입니다.;;;;;;;;;;;x
jointheafb_title;아프리카 개발은행 가맹;;;;;;;;;;;x
jointheafb_desc;아프리카 개발은행 그룹은 아프리카 국가들의 경제 발전과 사회 발전에 기여하기 위해 설립된 다자간 개발금융기관입니다. 아프리카 개발은행 그룹은 1964년에 설립되었으며 세개의 기관(아프리카 개발은행, 아프리카 개발기금, 나이지리아 신탁기금)으로 구성되어 있습니다. 아프리카 지역의 경제사회 발전에 기여할 가능성이 있는 사업과 프로그램에 대한 공공 및 민간 자본의 투자를 촉진함으로써 아프리카 대륙의 빈곤 퇴치와 생활여건 개선을 도모하는 것이 이들의 임무입니다. 아프리카 개발은행은 아프리카 정부와 지역회원국에 투자하는 민간기업에 대한 금융 제공자입니다.;;;;;;;;;;;x
leavetheafb_title;아프리카 개발은행 탈퇴;;;;;;;;;;;x
leavetheafb_desc;아프리카 개발은행 그룹은 아프리카 국가들의 경제 발전과 사회 발전에 기여하기 위해 설립된 다자간 개발금융기관입니다. 아프리카 개발은행 그룹은 1964년에 설립되었으며 세개의 기관(아프리카 개발은행, 아프리카 개발기금, 나이지리아 신탁기금)으로 구성되어 있습니다. 아프리카 지역의 경제사회 발전에 기여할 가능성이 있는 사업과 프로그램에 대한 공공 및 민간 자본의 투자를 촉진함으로써 아프리카 대륙의 빈곤 퇴치와 생활여건 개선을 도모하는 것이 이들의 임무입니다. 아프리카 개발은행은 아프리카 정부와 지역회원국에 투자하는 민간기업에 대한 금융 제공자입니다.;;;;;;;;;;;x
afbhigh;아프리카 개발은행의 원조 많음;;;;;;;;;;;x
afbmedium;아프리카 개발은행의 원조 보통;;;;;;;;;;;x
afblow;아프리카 개발은행의 원조 적음;;;;;;;;;;;x
changeafb_title;아프리카 개발은행 원조 수준 조정;;;;;;;;;;;x
changeafb_desc;아프리카 개발은행의 의장국이므로 원조 수준을 우리나라의 경제적 필요에 맞게 바꿀 수 있습니다.;;;;;;;;;;;x
afblow_title;아프리카 개발은행의 원조 수준 낮음;;;;;;;;;;;x
afbmedium_title;아프리카 개발은행의 원조 수준 중간;;;;;;;;;;;x
afbhigh_title;아프리카 개발은행의 원조 수준 높음;;;;;;;;;;;x
afblow_desc;낮은 수준의 원조는 가맹국들의 경제에 도움을 거의 주지 못할 것입니다.;;;;;;;;;;;x
afbmedium_desc;보통 수준의 원조는 가맹국들의 경제에 도움을 조금밖에 주지 못할 것입니다.;;;;;;;;;;;x
afbhigh_desc;높은 수준의 원조는 가맹국들의 경제에 도움을 많이 줄 것입니다.;;;;;;;;;;;x
afbhigh_gp;아프리카 개발은행의 원조 수준 높음(채권국);;;;;;;;;;;x
afbmedium_gp;아프리카 개발은행의 원조 수준 중간(채권국);;;;;;;;;;;x
afblow_gp;아프리카 개발은행의 원조 수준 낮음(채권국);;;;;;;;;;;x
