CODE;ENGLISH;;;;;;;;;;;x
AAB;�[SUB_A4]티가바부�[SUB_A4];;;;;;;;;;;x
AAB_presidential_dictatorship;�[SUB_A4]티가바부�[SUB_A4] 공화국;;;;;;;;;;;x
AAB_colonial_government;�[SUB_A4]티가바부�[SUB_A4] 자치령;;;;;;;;;;;x
AAB_mandate_government;�[SUB_A4]티가바부�[SUB_A4] 위임통치령;;;;;;;;;;;x
AAB_sar_government;�[SUB_A4]티가바부�[SUB_A4] 자치공화국;;;;;;;;;;;x
AAB_socialist_democracy;�[SUB_A4]티가바부�[SUB_A4] 인민공화국;;;;;;;;;;;x
AAB_proletarian_dictatorship;�[SUB_A4]티가바부�[SUB_A4] 인민공화국;;;;;;;;;;;x
AAB_proletarian_dictatorship1;�[SUB_A4]티가바부�[SUB_A4] 사회주의 공화국;;;;;;;;;;;x
AAB_nationalist_dictatorship;�[SUB_A4]티가바부�[SUB_A4]국;;;;;;;;;;;x
AAB_theocracy;�[SUB_A4]티가바부�[SUB_A4];;;;;;;;;;;x
AAB_populist_dictatorship;�[SUB_A4]티가바부�[SUB_A4]국;;;;;;;;;;;x
AAB_absolute_monarchy;�[SUB_A4]티가바부�[SUB_A4] 왕국;;;;;;;;;;;x
AAB_hms_government;�[SUB_A4]티가바부�[SUB_A4] 왕국;;;;;;;;;;;x
AAB_hms_government1;�[SUB_A4]티가바부�[SUB_A4] 왕국;;;;;;;;;;;x
AAB_democracy;�[SUB_A4]티가바부�[SUB_A4] 공화국;;;;;;;;;;;x
AAB_democracy1;�[SUB_A4]티가바부�[SUB_A4] 공화국;;;;;;;;;;;x
ABK;압하지야;;;;;;;;;;;x
ABK_presidential_dictatorship;압하지야 공화국;;;;;;;;;;;x
ABK_colonial_government;압하지야 자치령;;;;;;;;;;;x
ABK_mandate_government;압하지야 위임통치령;;;;;;;;;;;x
ABK_sar_government;압하지야 자치공화국;;;;;;;;;;;x
ABK_socialist_democracy;압하�[SUB_A4] 소비에트 사회주의 공화국;;;;;;;;;;;x
ABK_proletarian_dictatorship;압하�[SUB_A4] 소비에트 사회주의 공화국;;;;;;;;;;;x
ABK_proletarian_dictatorship1;압하�[SUB_A4] 소비에트 사회주의 공화국;;;;;;;;;;;x
ABK_nationalist_dictatorship;압하지야국;;;;;;;;;;;x
ABK_theocracy;압하지야;;;;;;;;;;;x
ABK_populist_dictatorship;압하지야국;;;;;;;;;;;x
ABK_absolute_monarchy;압하지야 왕국;;;;;;;;;;;x
ABK_hms_government;압하지야 왕국;;;;;;;;;;;x
ABK_hms_government1;압하지야 왕국;;;;;;;;;;;x
ABK_democracy;압하지야 공화국;;;;;;;;;;;x
ABK_democracy1;압하지야 공화국;;;;;;;;;;;x
ABZ;암바조니아;;;;;;;;;;;x
ABZ_presidential_dictatorship;암바조니아 공화국;;;;;;;;;;;x
ABZ_colonial_government;암바조니아 자치령;;;;;;;;;;;x
ABZ_mandate_government;암바조니아 위임통치령;;;;;;;;;;;x
ABZ_sar_government;암바조니아 자치공화국;;;;;;;;;;;x
ABZ_socialist_democracy;암바조니아 인민공화국;;;;;;;;;;;x
ABZ_proletarian_dictatorship;암바조니아 인민공화국;;;;;;;;;;;x
ABZ_proletarian_dictatorship1;암바조니아 인민공화국;;;;;;;;;;;x
ABZ_nationalist_dictatorship;암바조니아국;;;;;;;;;;;x
ABZ_theocracy;암바조니아;;;;;;;;;;;x
ABZ_populist_dictatorship;암바조니아국;;;;;;;;;;;x
ABZ_absolute_monarchy;암바조니아 왕국;;;;;;;;;;;x
ABZ_hms_government;암바조니아 왕국;;;;;;;;;;;x
ABZ_hms_government1;암바조니아 왕국;;;;;;;;;;;x
ABZ_democracy;암바조니아 공화국;;;;;;;;;;;x
ABZ_democracy1;암바조니아 공화국;;;;;;;;;;;x
ADJ;아자리야;;;;;;;;;;;x
ADJ_presidential_dictatorship;아자리야 공화국;;;;;;;;;;;x
ADJ_colonial_government;아자리야 자치령;;;;;;;;;;;x
ADJ_mandate_government;아자리야 위임통치령;;;;;;;;;;;x
ADJ_sar_government;아자리야 자치공화국;;;;;;;;;;;x
ADJ_socialist_democracy;아자리야 인민공화국;;;;;;;;;;;x
ADJ_proletarian_dictatorship;아자리야 인민공화국;;;;;;;;;;;x
ADJ_proletarian_dictatorship1;아자리야 인민공화국;;;;;;;;;;;x
ADJ_nationalist_dictatorship;아자리야국;;;;;;;;;;;x
ADJ_theocracy;아자리야;;;;;;;;;;;x
ADJ_populist_dictatorship;아자리야국;;;;;;;;;;;x
ADJ_absolute_monarchy;아자리야 왕국;;;;;;;;;;;x
ADJ_hms_government;아자리야 왕국;;;;;;;;;;;x
ADJ_hms_government1;아자리야 왕국;;;;;;;;;;;x
ADJ_democracy;아자리야 공화국;;;;;;;;;;;x
ADJ_democracy1;아자리야 공화국;;;;;;;;;;;x
ADL;안달루시아;;;;;;;;;;;x
ADL_presidential_dictatorship;안달루시아 공화국;;;;;;;;;;;x
ADL_colonial_government;안달루시아 자치령;;;;;;;;;;;x
ADL_mandate_government;안달루시아 위임통치령;;;;;;;;;;;x
ADL_sar_government;안달루시아 자치공화국;;;;;;;;;;;x
ADL_socialist_democracy;안달루시아 인민공화국;;;;;;;;;;;x
ADL_proletarian_dictatorship;안달루시아 인민공화국;;;;;;;;;;;x
ADL_proletarian_dictatorship1;안달루시아 인민공화국;;;;;;;;;;;x
ADL_nationalist_dictatorship;안달루시아국;;;;;;;;;;;x
ADL_theocracy;안달루시아;;;;;;;;;;;x
ADL_populist_dictatorship;안달루시아국;;;;;;;;;;;x
ADL_absolute_monarchy;안달루시아 왕국;;;;;;;;;;;x
ADL_hms_government;안달루시아 왕국;;;;;;;;;;;x
ADL_hms_government1;안달루시아 왕국;;;;;;;;;;;x
ADL_democracy;안달루시아 공화국;;;;;;;;;;;x
ADL_democracy1;안달루시아 공화국;;;;;;;;;;;x
ALA;올란드;;;;;;;;;;;x
ALA_presidential_dictatorship;올란드 공화국;;;;;;;;;;;x
ALA_colonial_government;올란드 자치령;;;;;;;;;;;x
ALA_mandate_government;올란드 위임통치령;;;;;;;;;;;x
ALA_sar_government;올란드 자치공화국;;;;;;;;;;;x
ALA_socialist_democracy;올란드 인민공화국;;;;;;;;;;;x
ALA_proletarian_dictatorship;올란드 인민공화국;;;;;;;;;;;x
ALA_proletarian_dictatorship1;올란드 인민공화국;;;;;;;;;;;x
ALA_nationalist_dictatorship;올란드국;;;;;;;;;;;x
ALA_theocracy;올란드;;;;;;;;;;;x
ALA_populist_dictatorship;올란드국;;;;;;;;;;;x
ALA_absolute_monarchy;올란드 왕국;;;;;;;;;;;x
ALA_hms_government;올란드 왕국;;;;;;;;;;;x
ALA_hms_government1;올란드 왕국;;;;;;;;;;;x
ALA_democracy;올란드 공화국;;;;;;;;;;;x
ALA_democracy1;올란드 공화국;;;;;;;;;;;x
ALB;알바니아;;;;;;;;;;;x
ALB_presidential_dictatorship;알바니아 공화국;;;;;;;;;;;x
ALB_colonial_government;알바니아 자치령;;;;;;;;;;;x
ALB_mandate_government;알바니아 위임통치령;;;;;;;;;;;x
ALB_sar_government;알바니아 자치공화국;;;;;;;;;;;x
ALB_socialist_democracy;알바니아 사회주의 인민공화국;;;;;;;;;;;x
ALB_proletarian_dictatorship;알바니아 사회주의 인민공화국;;;;;;;;;;;x
ALB_proletarian_dictatorship1;알바니아 인민공화국;;;;;;;;;;;x
ALB_nationalist_dictatorship;알바니아국;;;;;;;;;;;x
ALB_theocracy;알바니아;;;;;;;;;;;x
ALB_populist_dictatorship;알바니아국;;;;;;;;;;;x
ALB_absolute_monarchy;알바니아 왕국;;;;;;;;;;;x
ALB_hms_government;알바니아 왕국;;;;;;;;;;;x
ALB_hms_government1;알바니아 왕국;;;;;;;;;;;x
ALB_democracy;알바니아 공화국;;;;;;;;;;;x
ALB_democracy1;알바니아 공화국;;;;;;;;;;;x
ALG;알제리;;;;;;;;;;;x
ALG_presidential_dictatorship;알제리 공화국;;;;;;;;;;;x
ALG_colonial_government;알제리 자치령;;;;;;;;;;;x
ALG_mandate_government;알제리 위임통치령;;;;;;;;;;;x
ALG_sar_government;알제리 자치공화국;;;;;;;;;;;x
ALG_socialist_democracy;알제리 사회주의 인민공화국;;;;;;;;;;;x
ALG_proletarian_dictatorship;알제리 인민공화국;;;;;;;;;;;x
ALG_proletarian_dictatorship1;알제리 인민공화국;;;;;;;;;;;x
ALG_nationalist_dictatorship;알제리국;;;;;;;;;;;x
ALG_theocracy;알제리;;;;;;;;;;;x
ALG_populist_dictatorship;알제리국;;;;;;;;;;;x
ALG_absolute_monarchy;알제리 왕국;;;;;;;;;;;x
ALG_hms_government;알제리 왕국;;;;;;;;;;;x
ALG_hms_government1;알제리 왕국;;;;;;;;;;;x
ALG_democracy;알제리 공화국;;;;;;;;;;;x
ALG_democracy1;알제리 공화국;;;;;;;;;;;x
ALT;알타이;;;;;;;;;;;x
ALT_presidential_dictatorship;알타이 공화국;;;;;;;;;;;x
ALT_colonial_government;알타이 자치령;;;;;;;;;;;x
ALT_mandate_government;알타이 위임통치령;;;;;;;;;;;x
ALT_sar_government;알타이 자치공화국;;;;;;;;;;;x
ALT_socialist_democracy;알타이 소비에트 사회주의 공화국;;;;;;;;;;;x
ALT_proletarian_dictatorship;알타이 소비에트 사회주의 공화국;;;;;;;;;;;x
ALT_proletarian_dictatorship1;알타이 소비에트 사회주의 공화국;;;;;;;;;;;x
ALT_nationalist_dictatorship;알타이국;;;;;;;;;;;x
ALT_theocracy;알타이;;;;;;;;;;;x
ALT_populist_dictatorship;알타이국;;;;;;;;;;;x
ALT_absolute_monarchy;알타이 왕국;;;;;;;;;;;x
ALT_hms_government;알타이 왕국;;;;;;;;;;;x
ALT_hms_government1;알타이 왕국;;;;;;;;;;;x
ALT_democracy;알타이 공화국;;;;;;;;;;;x
ALT_democracy1;알타이 공화국;;;;;;;;;;;x
ANG;앙골라;;;;;;;;;;;x
ANG_presidential_dictatorship;앙골라 공화국;;;;;;;;;;;x
ANG_colonial_government;앙골라 자치령;;;;;;;;;;;x
ANG_mandate_government;앙골라 위임통치령;;;;;;;;;;;x
ANG_sar_government;앙골라 자치공화국;;;;;;;;;;;x
ANG_socialist_democracy;앙골라 인민공화국;;;;;;;;;;;x
ANG_proletarian_dictatorship;앙골라 인민공화국;;;;;;;;;;;x
ANG_proletarian_dictatorship1;앙골라 인민공화국;;;;;;;;;;;x
ANG_nationalist_dictatorship;앙골라국;;;;;;;;;;;x
ANG_theocracy;앙골라;;;;;;;;;;;x
ANG_populist_dictatorship;앙골라국;;;;;;;;;;;x
ANG_absolute_monarchy;앙골라 왕국;;;;;;;;;;;x
ANG_hms_government;앙골라 왕국;;;;;;;;;;;x
ANG_hms_government1;앙골라 왕국;;;;;;;;;;;x
ANG_democracy;앙골라 공화국;;;;;;;;;;;x
ANG_democracy1;앙골라 공화국;;;;;;;;;;;x
AOS;아오�[SUB_A4]타;;;;;;;;;;;x
AOS_presidential_dictatorship;아오�[SUB_A4]타 공화국;;;;;;;;;;;x
AOS_colonial_government;아오�[SUB_A4]타 자치령;;;;;;;;;;;x
AOS_mandate_government;아오�[SUB_A4]타 위임통치령;;;;;;;;;;;x
AOS_sar_government;아오�[SUB_A4]타 자치공화국;;;;;;;;;;;x
AOS_socialist_democracy;아오�[SUB_A4]타 인민공화국;;;;;;;;;;;x
AOS_proletarian_dictatorship;아오�[SUB_A4]타 인민공화국;;;;;;;;;;;x
AOS_proletarian_dictatorship1;아오�[SUB_A4]타 인민공화국;;;;;;;;;;;x
AOS_nationalist_dictatorship;아오�[SUB_A4]타국;;;;;;;;;;;x
AOS_theocracy;아오�[SUB_A4]타;;;;;;;;;;;x
AOS_populist_dictatorship;아오�[SUB_A4]타국;;;;;;;;;;;x
AOS_absolute_monarchy;아오�[SUB_A4]타 왕국;;;;;;;;;;;x
AOS_hms_government;아오�[SUB_A4]타 왕국;;;;;;;;;;;x
