CODE;ENGLISH;;;;;;;;;;;;;;;
arab_saharan;사하라;;;;;;;;;;;;;;;
mauritanian;모리타니;;;;;;;;;;;;;;;
arab_hassaniya;하사니야 아랍;;;;;;;;;;;;;;;
arab_gulf;걸프 아랍;;;;;;;;;;;;;;;
regional_arabic_1;지리적 아랍;;;;;;;;;;;;;;;
arab_levantine;레반트;;;;;;;;;;;;;;;
arab_mesopotamian;메소포타미아;;;;;;;;;;;;;;;
arab_awazi;아와지;;;;;;;;;;;;;;;
arab_sahrawi;사하라위;;;;;;;;;;;;;;;
arab_shuwa;수와;;;;;;;;;;;;;;;
arab_marsh;마르쉬;;;;;;;;;;;;;;;
arab_khamseh;하메쉬;;;;;;;;;;;;;;;
copt;콥트;;;;;;;;;;;;;;;
capital_of_israel_title;성지;;;;;;;;;;;;;;;
capital_of_israel_desc;요르단이 중동 전쟁에서 요르단강 서안과 동예루살렘을 불법적으로 점령했을 때, 그들은 성지에서의 유대인의 기도를 막음으로써 하늘에 죄를 범했습니다. 더 나쁜 것은, 그들이 솔로몬 신전의 유일한 흔적인 서쪽 성벽 밖에 빈민가를 조성했다는 것입니다. 역사는 예루살렘이 분열되면 유대인들의 학살과 국가적 굴욕도 따라온다는 사실을 알려줍니다. 유럽의 집단학살 같은 역사가 반복되지 않도록 할 것입니다. $COUNTRY$은(는) 예루살렘을 분단되지 않는 영원한 수도로 선포해야 합니다.;;;;;;;;;;;;;;;
EVT_8000319_NAME;이슬람 원리주의자 알제리 내전 승리;;;;;;;;;;;;;;;
EVT_8000319_DESC;알제리 내전은 일차적으로 정부와 이슬람 반군 간의 내전입니다. 반군은 나뉘었지만, 이들 가운데 승리한 집단은 다른 파벌들과 달리 이슬람국가 창설을 추구했고, 정부를 압박하는 대신 불안정하게 만들고 전복시켜 성소를 '정화'하려 했습니다. 그들의 구호는 "합의도, 휴전도, 대화도 없다"였습니다. 이들은 전반적으로 불안한 분위기를 조성하고 테러범들을 고용해 보안군은 물론 민간인을 겨냥했습니다. 이를 통해 자신들의 영토를 통제하면서 서방세계에 테러를 가하고 모든 이슬람 세계를 하나로 묶을 계획입니다.;;;;;;;;;;;;;;;
EVT_8000319_A;그리고 그것은 정확히 우리가 할 일이다.;;;;;;;;;;;;;;;
EVT_8007700_NAME;인구학적 위기;;;;;;;;;;;;;;;
EVT_8007700_DESC;이스라엘은 건국 이후 스스로를 '유대인들의 민주국가'로 규정해왔습니다. 하지만 유대인들은 국내에서도 소수민족으로 전락하면서 둘은 갈등을 빚었고, 이제는 매우 어려운 결정을 내려야 할 때입니다. 유대인으로 남을까요, 아니면 민주적으로 지낼까요?;;;;;;;;;;;;;;;
EVT_8007700_A;민주주의.;;;;;;;;;;;;;;;
EVT_8007700_B;유대인.;;;;;;;;;;;;;;;
EVT_8007700_C;2국체제를 시행할 때다.;;;;;;;;;;;;;;;
